source_id,source_title,relation_type,target,basis
VIRT-EUROSYS25-17,A Hardware-Software Co-Design for Efficient Secure Containers,ALTERNATIVE,Kata Containers with hardware-assisted virtualization (HVM); PVM (SOSP 2023 software para-virtualization),Both are implemented as baselines across bare-metal and nested-cloud scenarios.
VIRT-EUROSYS25-17,A Hardware-Software Co-Design for Efficient Secure Containers,SAME_BRANCH,VIRT-EUROSYS25-05,"Erebor uses the same Intel PKS primitive for intra-kernel privilege separation, but to defend client data inside a CVM rather than to speed up secure containers."
VIRT-EUROSYS25-17,A Hardware-Software Co-Design for Efficient Secure Containers,TRADEOFF_PAIR,VIRT-ATC25-02,HyperTurtle makes nested virtualization cheaper; CKI avoids the nested VMX path altogether. The two are the opposing answers to the same nested-cloud cost.
VIRT-EUROSYS25-01,FastIOV: Fast Startup of Passthrough Network I/O Virtualization for Secure Conta,TRADEOFF_PAIR,VIRT-EUROSYS25-06,Byte vSwitch keeps I/O software-mediated and optimises the vSwitch data path; FastIOV takes the passthrough branch and optimises attach time. Together they span the two answers to cloud network I/O virtualization.
VIRT-EUROSYS25-01,FastIOV: Fast Startup of Passthrough Network I/O Virtualization for Secure Conta,SAME_BRANCH,VIRT-EUROSYS25-03,"Both papers are about consequences of IOMMU-pinned passthrough memory: HyperAlloc for reclamation, FastIOV for setup cost."
VIRT-EUROSYS25-01,FastIOV: Fast Startup of Passthrough Network I/O Virtualization for Secure Conta,PRECURSOR,Understanding Network Startup for Secure Containers in Multi-Tenant Clouds (IMC 2024),Same group; the IMC measurement paper establishes the startup bottlenecks FastIOV then removes.
VIRT-EUROSYS25-06,Byte vSwitch: A High-Performance Virtual Switch for Cloud Networking,ALTERNATIVE,Open vSwitch,Stated baseline; BVS replaces OVS in ByteDance production.
VIRT-EUROSYS25-06,Byte vSwitch: A High-Performance Virtual Switch for Cloud Networking,TRADEOFF_PAIR,VIRT-EUROSYS25-01,Software vSwitch mediation versus SR-IOV passthrough are the two ends of the network I/O virtualization trade-off.
VIRT-EUROSYS25-08,Phantom: Virtualizing Switch Register Resources for Accurate Sketch-based Networ,SAME_BRANCH,VIRT-EUROSYS25-06,"Both are network-device virtualization in the EuroSys 2025 program, one in the host software switch and one in the switch ASIC resource plane."
VIRT-EUROSYS25-09,"Hey Hey, My My, Skewness Is Here to Stay: Challenges and Opportunities in Cloud ",LAYER_ABOVE,VIRT-EUROSYS25-01,Both concern virtualized device I/O at Alibaba scale; this paper characterises the steady-state block path while FastIOV addresses network device attach latency.
VIRT-EUROSYS25-10,A House United Within Itself: SLO-Awareness for On-Premises Containerized ML Inf,SAME_BRANCH,VIRT-EUROSYS25-12,"Both are SLO-driven allocation over shared inference infrastructure; Faro on CPU container replicas, the other on multiplexed GPUs."
VIRT-EUROSYS25-12,Multiplexing Dynamic Deep Learning Workloads with SLO-awareness in GPU Clusters,LAYER_ABOVE,VIRT-EUROSYS25-07,Bless decides SM partitioning inside one GPU; this work decides co-location across a GPU cluster under SLOs.
VIRT-EUROSYS25-15,Eva: Cost-Efficient Cloud-Based Cluster Scheduling,CONTRASTS_WITH,VIRT-EUROSYS25-02,"Both reconfigure placements online, but Eva stops and restarts tasks (checkpoint/restart) while VMR2L live-migrates VMs; the cost models differ accordingly."
VIRT-EUROSYS25-18,RAKIS: Secure Fast I/O Primitives Across Trust Boundaries on Intel SGX,SAME_BRANCH,VIRT-EUROSYS25-05,"Both harden a confidential-computing boundary from the inside; Erebor for an untrusted in-CVM OS, RAKIS for an untrusted host OS driving I/O rings."
VIRT-EUROSYS25-18,RAKIS: Secure Fast I/O Primitives Across Trust Boundaries on Intel SGX,ALTERNATIVE,Rkt-IO (DPDK-in-enclave),Cited as the DPDK-based alternative; not evaluated because the hardware was unavailable.
VIRT-ATC25-01,"LITESHIELD: Secure Containers via Lightweight, Composable Userspace μKernel Serv",ALTERNATIVE,gVisor / Firecracker / KVM+Kata,"All are implemented and measured as baselines on the same syscall-latency, network, storage-I/O and Redis/YCSB benchmarks."
VIRT-ATC25-01,"LITESHIELD: Secure Containers via Lightweight, Composable Userspace μKernel Serv",SAME_BRANCH,VIRT-EUROSYS25-17,"Both reduce the cost of the secure-container isolation boundary versus hardware-virtualized (Kata/HVM) baselines, one via userspace uKernel decomposition and syscall interposition, the other via intra-kernel privilege separation (PKS)."
VIRT-ATC25-02,Accelerating Nested Virtualization with HyperTurtle,TRADEOFF_PAIR,VIRT-EUROSYS25-17,HyperTurtle makes nested virtualization cheaper by shortcutting L0-L1-L2 world switches; CKI (EUROSYS25-17) instead avoids the nested VMX path altogether by de-privileging the guest kernel with PKS. Both are answers to the cost of nested/secure-container virtualization.
VIRT-ATC25-03,Efficient Performance-Aware GPU Sharing with Compatibility and Isolation through,SAME_BRANCH,VIRT-ATC25-05,"Both interpose on the GPU driver stack to bound interference between co-located tenants below the CUDA runtime, one via command-buffer write-protection for spatial+temporal sharing, the other via GPU hardware timeslice reconfiguration for latency-critical preemption."
VIRT-ATC25-03,Efficient Performance-Aware GPU Sharing with Compatibility and Isolation through,CONTRASTS_WITH,"NVIDIA MIG / MPS / API-remoting GPU sharing (TGS, GaiaGPU, GSlice)","Directly implemented and measured as baselines for compatibility, isolation and utilization comparisons."
VIRT-ATC25-05,GPREEMPT: GPU Preemptive Scheduling Made General and Efficient,SAME_BRANCH,VIRT-ATC25-03,"Both bound GPU-sharing interference below the CUDA/vendor runtime; GPreempt targets fast, general preemption for latency-critical co-location while the kernel-interception paper targets a persistent spatio-temporal partition abstraction."
VIRT-ATC25-05,GPREEMPT: GPU Preemptive Scheduling Made General and Efficient,CONTRASTS_WITH,REEF (reset-based GPU preemption) / wait-based block-level preemption,Directly implemented and measured as baselines on both NVIDIA and AMD hardware.
VIRT-ATC25-06,Poby: SmartNIC-accelerated Image Provisioning for Coldstart in Clouds,LAYER_BELOW,VIRT-OSDI25-05,Fork in the Road measures cold-start latency components in production and finds code/dependency deployment dominates in some regions; Poby attacks exactly that image-provisioning component with SmartNIC offload.
VIRT-ATC25-09,"Torpor: GPU-Enabled Serverless Computing for Low-Latency, Resource-Efficient Inf",SAME_BRANCH,VIRT-ATC25-03,"Both multiplex one physical GPU across tenants with an explicit isolation-vs-efficiency knob (runtime sharing vs runtime isolation here; MIG+token isolation there), for different workload classes (serverless inference bursts vs persistent tenants)."
VIRT-ATC25-04,GMI-DRL: Empowering Multi-GPU DRL with Adaptive-Grained Parallelism,USES_MECHANISM_FROM,NVIDIA MIG and MPS,GMIs are directly implemented as MIG instances (serving) or MPS contexts (training); the paper adds only the sizing/scheduling policy on top.
VIRT-ATC25-04,GMI-DRL: Empowering Multi-GPU DRL with Adaptive-Grained Parallelism,CONTRASTS_WITH,VIRT-ATC25-03,"Both partition a GPU into sub-instances for isolation, but VIRT-ATC25-03 builds a new kernel-mediated abstraction (IGPU) below the driver, while GMI-DRL composes existing MIG/MPS instances via workload-aware sizing above it."
VIRT-ATC25-14,Para-ksm: Parallelized Memory Deduplication with Data Streaming Accelerator,SAME_BRANCH,VIRT-EUROSYS25-03,HyperAlloc (EuroSys25-03) reclaims free pages via a shared allocator; Para-ksm instead finds and merges content-identical in-use pages - complementary mechanisms in the same VM/container memory-reclamation design space.
VIRT-ATC25-14,Para-ksm: Parallelized Memory Deduplication with Data Streaming Accelerator,ALTERNATIVE,STYX (SmartNIC-offloaded KSM),"Paper directly compares against STYX, noting Para-ksm avoids memory pinning and uses ~300 vs ~1300 lines of kernel code."
VIRT-ATC25-12,Resource Multiplexing in Tuning and Serving Large Language Models,SAME_BRANCH,VIRT-ATC25-13,"Both colocate a latency-sensitive GPU job (serving/inference) with a throughput-oriented one (fine-tuning/training) on one physical GPU by sharing memory and adaptively reclaiming compute, contrasted with static partitioning or full temporal isolation."
VIRT-ATC25-13,Colocating ML Inference and Training with Fast GPU Memory Handover,SAME_BRANCH,VIRT-ATC25-12,"Both colocate serving with a training/tuning job on one GPU to reclaim idle capacity while bounding SLO impact, one via spatial SM/memory handover, the other via iteration-level temporal interleaving."
VIRT-ATC25-13,Colocating ML Inference and Training with Fast GPU Memory Handover,CONTRASTS_WITH,TaskSwitch (temporal) / static partitioning / Unified-Memory+MPS swap,"Directly implemented and measured as baselines for cold-start, memory-waste and PCIe-bottleneck trade-offs respectively."
VIRT-ATC25-15,μEFI: A Microkernel-Style UEFI with Isolation and Transparency,SAME_BRANCH,VIRT-ATC25-16,"Both apply a microkernel-style deprivileging pattern (small trusted core, sandboxed/deprivileged modules) to reduce TCB, one at the firmware layer via page tables, the other at the OS-kernel layer via Rust-language safety."
VIRT-ATC25-16,"ASTERINAS: A Linux ABI-Compatible, Rust-Based Framekernel OS with a Small and So",SAME_BRANCH,VIRT-ATC25-15,"Both reduce TCB by deprivileging most of a system's logic behind a small trusted core, one for a general-purpose kernel via Rust-language safety, the other for firmware via page-table sandboxes."
VIRT-ATC25-16,"ASTERINAS: A Linux ABI-Compatible, Rust-Based Framekernel OS with a Small and So",CONTRASTS_WITH,VIRT-ATC25-01,"LiteShield isolates whole containers from the host by moving guest-kernel functionality to userspace processes; Asterinas instead isolates kernel *services* from each other and from sensitive hardware state within one kernel, using language rather than process boundaries."
VIRT-ATC25-17,Rex: Closing the language-verifier gap with safe and usable kernel extensions,SAME_BRANCH,VIRT-ATC25-16,"Both substitute a hardware/process isolation boundary with a language-safety boundary for kernel-adjacent extensibility, one for whole OS services (Asterinas), the other for individual kernel extensions (Rex)."
VIRT-ATC25-17,Rex: Closing the language-verifier gap with safe and usable kernel extensions,CONTRASTS_WITH,VIRT-OSDI25-10,Rex strengthens in-kernel eBPF's safety model by replacing the verifier with Rust; the OSDI25-10 bpftime work instead moves eBPF execution to userspace to relax kernel verifier constraints entirely - opposite answers to eBPF's expressiveness limits.
VIRT-ATC25-18,Separate but Together: Integrating Remote Attestation into TLS,USES_MECHANISM_FROM,AMD SEV-SNP / firmware and discrete TPM remote attestation,The protocol is implemented and measured against all three attestation hardware roots of trust as alternative TEEs.
VIRT-OSDI25-01,"To PRI or Not To PRI, That's the Question",CONTRASTS_WITH,VIRT-EUROSYS25-03,HyperAlloc reclaims VM memory by co-designing the guest allocator with the hypervisor and treats passthrough as the case that breaks classic ballooning; VIO instead keeps the guest completely unmodified and solves the same passthrough-vs-overcommitment conflict entirely inside the hypervisor via proactive snooping.
VIRT-OSDI25-02,Kamino: Efficient VM Allocation at Scale with Latency-Driven Cache-Aware Schedul,LAYER_ABOVE,VIRT-EUROSYS25-02,Kamino allocates VMs at admission time with latency-driven cache-aware scheduling; VMR2L (EuroSys25-02) re-optimises an existing allocation by migration. Both attack CPU/host fragmentation from opposite ends of the VM lifecycle.
VIRT-OSDI25-03,MettEagle: Costs and Benefits of Implementing Containers on Microkernels,ALTERNATIVE,VIRT-ATC25-01,"Both replace Linux's shared-kernel container boundary with a smaller isolated core, LiteShield via userspace uKernel services intercepting syscalls on stock Linux, MettEagle via a capability-based microkernel replacing Linux entirely."
VIRT-OSDI25-03,MettEagle: Costs and Benefits of Implementing Containers on Microkernels,SAME_BRANCH,VIRT-ATC25-16,"Both pursue TCB reduction as the primary isolation goal, one via a capability-based microkernel (MettEagle), the other via Rust-language safety inside a monolithic-style single address space (Asterinas)."
VIRT-OSDI25-05,Fork in the Road: Reflections and Optimizations for Cold Start Latency in Produc,CONTRASTS_WITH,VIRT-ATC25-06,"Poby attacks image-provisioning/coldstart specifically via SmartNIC offload; this papers measured breakdown shows code/dependency deployment and runtime init dominate in some cases but not others, giving the broader context for where such point-solutions help."
VIRT-OSDI25-05,Fork in the Road: Reflections and Optimizations for Cold Start Latency in Produc,USES_MECHANISM_FROM,Catalyzer (VM-fork secure-container cold start),"AFaaS explicitly builds its fork-based sandbox creation on Catalyzer's VM-fork/EPT copy-on-write approach, measured directly as its baseline."
VIRT-OSDI25-08,FineMem: Breaking the Allocation Overhead vs. Memory Waste Dilemma in Fine-Grain,CONTRASTS_WITH,VIRT-EUROSYS25-03,"HyperAlloc builds an elastic guest-physical memory abstraction (de/inflation) on local DRAM shared with a hypervisor; FineMem instead gives fast, isolated, fine-grained raw allocation over a remote disaggregated pool without any guest-physical translation layer - the same T2 memory-management problem addressed with and without a virtualization abstraction."
VIRT-OSDI25-09,Deterministic Client: Enforcing Determinism on Untrusted Machine Code,SAME_BRANCH,VIRT-ATC25-01,"Both build a narrow, mediated isolation boundary around untrusted code without relying on a full VM, one via software-fault-isolation-sandboxed native code (DeCl), the other via userspace syscall interposition around a whole guest application (LiteShield)."
VIRT-OSDI25-09,Deterministic Client: Enforcing Determinism on Untrusted Machine Code,CONTRASTS_WITH,VIRT-OSDI25-10,"DeCl sandboxes arbitrary native machine code via SFI plus deterministic metering; bpftime instead sandboxes small eBPF extensions inside a host process via hardware memory-protection-key domains - different points in the ""isolate untrusted code inside one process"" design space."
VIRT-OSDI25-10,Extending Applications Safely and Efficiently,CONTRASTS_WITH,VIRT-ATC25-17,"Rex strengthens in-kernel eBPF's safety model by replacing the verifier with Rust language guarantees; bpftime instead moves eBPF execution to userspace entirely, replacing the kernel-trap isolation boundary with an MPK hardware domain - opposite answers to eBPF's kernel-verifier/kernel-trap costs."
VIRT-OSDI25-10,Extending Applications Safely and Efficiently,SAME_BRANCH,VIRT-ATC25-02,"Both use verified eBPF as a safe extension mechanism to avoid an expensive trap - HyperTurtle to avoid nested-virtualization world switches inside a hypervisor, bpftime to avoid kernel traps for userspace application extension."
VIRT-OSDI25-10,Extending Applications Safely and Efficiently,CONTRASTS_WITH,VIRT-OSDI25-09,"bpftime isolates small extensions inside a host process via MPK hardware domains; DeCl isolates arbitrary native code via software fault isolation (LFI) or page protection - different mechanisms for the same ""confine untrusted code sharing an address space"" problem."
VIRT-OSDI25-11,XSched: Preemptive Scheduling for Diverse XPUs,SAME_BRANCH,VIRT-ATC25-05,"Both build fast preemption for accelerator sharing below the vendor runtime; GPreempt specializes in NVIDIA/AMD GPU timeslice manipulation for latency-critical co-location, while XSched generalizes a multi-level preemption abstraction across GPUs, NPUs, ASICs and FPGAs."
VIRT-OSDI25-13,Tiered Memory Management Beyond Hotness,CONTRASTS_WITH,VIRT-OSDI25-08,"Both manage placement of data across a fast/slow memory hierarchy (local tiers here, a remote RDMA pool for FineMem) using custom placement/allocation policy, neither building a guest-facing virtual memory abstraction."
VIRT-OSDI25-14,QOS: Quantum Operating System,SAME_BRANCH,VIRT-OSDI25-04,"Both spatially multiplex several quantum programs onto one physical QPU using unused-qubit buffer zones to bound crosstalk; HyperQ presents each program a fixed, hardware-matched virtual QPU interface (a qVM), while QOS instead scores and bundles whole Qernels via a compatibility metric as part of a larger quantum-OS scheduling stack."
VIRT-OSDI25-15,Building Bridges: Safe Interactions with Foreign Languages through Omniglot,SAME_BRANCH,VIRT-OSDI25-10,"Both use hardware intra-process protection-domain switching (MPK) as a cheap alternative to process isolation for untrusted code sharing an address space with a trusted host - bpftime for eBPF extensions, Omniglot for arbitrary foreign libraries called from Rust."
VIRT-OSDI25-15,Building Bridges: Safe Interactions with Foreign Languages through Omniglot,CONTRASTS_WITH,VIRT-OSDI25-09,Omniglot isolates foreign code via hardware memory-protection domains plus compile-time scope checking; DeCl isolates arbitrary native code via software fault isolation (LFI) or page protection with deterministic metering - different isolation primitives for confining untrusted code in-process.
VIRT-SOSP25-01,Device-Assisted Live Migration of RDMA Devices,CONTRASTS_WITH,VIRT-OSDI26-02,"M3U pre-installs paravirtual (VirtIO) device state before migration, which is possible because VirtIO state is host/software-visible; this paper tackles the strictly harder case where the passthrough device's state is opaque to the hypervisor by construction, requiring the device's own cooperation."
VIRT-SOSP25-01,Device-Assisted Live Migration of RDMA Devices,SAME_BRANCH,Oasis and other SOSP25 device/CXL I/O-migration papers (existing corpus),"A prior pass's note recorded this paper grouped in the SOSP 2025 program alongside other device-state-migration-by-a-different-route papers (e.g. Oasis, which sidesteps in-device state by keeping I/O state in shared CXL memory); both attack the same underlying problem of moving state the OS cannot see because the device bypasses it."
VIRT-SOSP25-02,Demeter: A Scalable and Elastic Tiered Memory Solution for Virtualized Cloud via,ALTERNATIVE,VIRT-SOSP25-16,Mage scales the host-side fault/eviction path for far memory; Demeter instead pushes the tiering decision into the guest -- two opposite answers to where memory-expansion policy belongs
VIRT-SOSP25-02,Demeter: A Scalable and Elastic Tiered Memory Solution for Virtualized Cloud via,SAME_BRANCH,HyperAlloc: Efficient VM Memory De/Inflation via Hypervisor-Shared Page-Frame Allocators,both are guest-hypervisor cooperative memory mechanisms in the ballooning/virtio-mem lineage
VIRT-SOSP25-03,Ghost in the Android Shell: Pragmatic Test-oracle Specification of a Production ,ALTERNATIVE,VIRT-SOSP25-04,"both establish confidence in a privileged isolation monitor, Miralis by exhaustive symbolic execution of a small TCB, pKVM by runtime test oracles over a large existing one"
VIRT-SOSP25-03,Ghost in the Android Shell: Pragmatic Test-oracle Specification of a Production ,SAME_BRANCH,VIRT-SOSP25-12,"both verify that a production kernel's logical view of memory protection matches what the hardware actually enforces, here Arm stage-2 tables, there MPU/PMP registers"
VIRT-SOSP25-04,The Design and Implementation of a Virtual Firmware Monitor,ALTERNATIVE,Dorami,Dorami deprivileges firmware by binary scanning plus vendor firmware modification; Miralis achieves the same goal by classical virtualization with no firmware changes
VIRT-SOSP25-04,The Design and Implementation of a Virtual Firmware Monitor,LAYER_BELOW,ACE confidential VM monitor,"Miralis hosts ACE as a policy module, so the confidential-VM monitor now sits above a virtualized M-mode and excludes firmware from its TCB"
VIRT-SOSP25-04,The Design and Implementation of a Virtual Firmware Monitor,SAME_BRANCH,VIRT-SOSP25-03,"both are correctness arguments for privileged isolation monitors, one by symbolic execution against an ISA model, one by runtime test oracles"
VIRT-SOSP25-05,Oasis: Pooling PCIe Devices Over CXL to Boost Utilization,CONTRASTS_WITH,VIRT-SOSP25-01,"Oasis sidesteps device-state migration entirely by keeping all I/O state in shared CXL memory and reassigning physical devices, whereas device-assisted live migration attacks the in-device state problem directly"
VIRT-SOSP25-05,Oasis: Pooling PCIe Devices Over CXL to Boost Utilization,SAME_BRANCH,VIRT-SOSP25-16,"both build host-crossing resource expansion over a fabric, one for devices over CXL, one for memory over RDMA"
VIRT-SOSP25-05,Oasis: Pooling PCIe Devices Over CXL to Boost Utilization,ALTERNATIVE,VIRT-SOSP25-15,"both reclaim idle I/O-path capacity in hyperscale clouds, Oasis by pooling devices across hosts, Tai Chi by reclaiming idle SmartNIC cycles on one host"
VIRT-SOSP25-06,PhoenixOS: Concurrent OS-level GPU Checkpoint and Restore with Validated Specula,SAME_BRANCH,VIRT-SOSP25-01,both capture and move device state that the OS cannot see because the device bypasses it
VIRT-SOSP25-06,PhoenixOS: Concurrent OS-level GPU Checkpoint and Restore with Validated Specula,ALTERNATIVE,NVIDIA cuda-checkpoint,"the paper's Driver-C baseline is NVIDIA's closed-source driver-level checkpoint, against which PhoenixOS argues for an OS-level DAG abstraction"
VIRT-SOSP25-06,PhoenixOS: Concurrent OS-level GPU Checkpoint and Restore with Validated Specula,USES_MECHANISM_FROM,VIRT-SOSP25-07,Aegaeon's fast model switching needs exactly the GPU state save/restore primitives PhoenixOS generalises; both treat KV cache / device buffers as the migratable unit
VIRT-SOSP25-07,Aegaeon: Effective GPU Pooling for Concurrent LLM Serving on the Market,CONTRASTS_WITH,VIRT-SOSP25-14,LithOS partitions one GPU spatially at TPC granularity with hardware-level isolation; Aegaeon multiplexes it temporally at token granularity with none -- the two poles of accelerator sharing
VIRT-SOSP25-07,Aegaeon: Effective GPU Pooling for Concurrent LLM Serving on the Market,USES_MECHANISM_FROM,VIRT-SOSP25-06,"both depend on saving and restoring GPU-resident state cheaply; Aegaeon hand-rolls it for weights and KV cache, PhoenixOS generalises it as an OS service"
VIRT-SOSP25-07,Aegaeon: Effective GPU Pooling for Concurrent LLM Serving on the Market,ALTERNATIVE,MuxServe,"the paper's spatial-multiplexing baseline, which it shows wins only under very tight SLOs"
VIRT-SOSP25-08,Unlocking True Elasticity for the Cloud-Native Era with Dandelion,USES_MECHANISM_FROM,VIRT-SOSP25-11,"Dandelion's fastest backend is CHERI capability isolation, the same hardware mechanism CHERIoT RTOS builds its compartments on"
VIRT-SOSP25-08,Unlocking True Elasticity for the Cloud-Native Era with Dandelion,ALTERNATIVE,VIRT-SOSP25-13,"both attack FaaS start cost by avoiding multiple address spaces -- Dandelion by removing the guest OS, uFork by forking within one address space"
VIRT-SOSP25-08,Unlocking True Elasticity for the Cloud-Native Era with Dandelion,TRADEOFF_PAIR,Firecracker,Firecracker keeps POSIX and pays snapshot restore cost; Dandelion drops POSIX and pays portability cost
VIRT-SOSP25-08,Unlocking True Elasticity for the Cloud-Native Era with Dandelion,LAYER_BELOW,VIRT-SOSP25-09,Quilt optimises workflow packing above an unchanged isolation substrate; Dandelion replaces the substrate itself
VIRT-SOSP25-09,Quilt: Resource-aware Merging of Serverless Workflows,LAYER_ABOVE,VIRT-SOSP25-08,Quilt packs functions above a fixed isolation substrate whereas Dandelion redesigns that substrate; read together they separate policy from mechanism in serverless
VIRT-SOSP25-10,Coyote v2: Raising the Level of Abstraction for Data Center FPGAs,EXTENSION,Coyote v1,"the paper states it extends v1 by moving services into the dynamic layer, adding multithreading, generic interfaces and interrupts"
VIRT-SOSP25-10,Coyote v2: Raising the Level of Abstraction for Data Center FPGAs,ALTERNATIVE,AmorphOS,"compared directly: AmorphOS lacks networking, shared virtual memory and service reconfiguration"
VIRT-SOSP25-10,Coyote v2: Raising the Level of Abstraction for Data Center FPGAs,ALTERNATIVE,OPTIMUS,"compared directly: OPTIMUS only spatially partitions static regions, without dynamic reconfiguration or multithreading"
VIRT-SOSP25-10,Coyote v2: Raising the Level of Abstraction for Data Center FPGAs,SAME_BRANCH,VIRT-SOCC25-05,"Funky orchestrates FPGA virtualization in a cloud-native control plane, one layer above the shell abstraction Coyote v2 provides"
VIRT-SOSP25-10,Coyote v2: Raising the Level of Abstraction for Data Center FPGAs,SAME_BRANCH,VIRT-SOSP25-14,"both spatially partition an accelerator with hardware-enforced per-partition isolation, on FPGA fabric and on GPU TPCs respectively"
VIRT-SOSP25-11,CHERIoT RTOS: An OS for Fine-Grained Memory-Safe Compartments on Low-Cost Embedd,LAYER_BELOW,VIRT-SOSP25-08,Dandelion's 89 us CHERI backend relies on exactly these capability bounds for sandbox isolation
VIRT-SOSP25-11,CHERIoT RTOS: An OS for Fine-Grained Memory-Safe Compartments on Low-Cost Embedd,LAYER_BELOW,VIRT-SOSP25-13,uFork uses CHERI capability tags to relocate pointers and to isolate micro-processes within one address space
