00083	TorchGT: A Holistic System for Large-Scale Graph Transformer Training
00084	Exploring Efficient Partial Differential Equation Solution Using Speed Galerkin Transformer
00085	Surpassing Sycamore: Achieving Energetic Superiority Through System-Level Circuit Simulation
00086	Realizing Quantum Kernel Models at Scale with Matrix Product State Simulation
00087	Atlas: Hierarchical Partitioning for Quantum Circuit Simulation on GPUs
00088	Unlocking High Performance with Low-Bit NPUs and CPUs for Highly Optimized HPL-MxP on Cloud Brain II
00089	Fire-Flyer AI-HPC: A Cost-Effective Software-Hardware Co-Design for Deep Learning
00090	A Probabilistic Approach To Selecting Build Configurations in Package Managers
00091	A High-Quality Workflow for Multi-Resolution Scientific Data Reduction and Visualization
00092	Error-controlled Progressive Retrieval of Scientific Data under Derivable Quantities of Interest
00093	CARP: Range Query-Optimized Indexing for Streaming Data
00094	Optimizing Distributed ML Communication with Fused Computation-Collective Operations
00095	Accelerating Communication in Deep Learning Recommendation Model Training with Dual-Level Adaptive Lossy Compression
00096	APTMoE: Affinity-Aware Pipeline Tuning for MoE Models on Bandwidth-Constrained GPU Nodes
00097	Accelerated Atomistic Kinetic Monte Carlo Simulations of Resistive Memory Arrays
00098	Large Language Models for Anomaly Detection in Computational Workflows: From Supervised Fine-Tuning to In-Context Learning
00099	Designing a GPU-Accelerated Communication Layer for Efficient Fluid-Structure Interaction Computations on Heterogeneous Systems
00100	Efficient Tensor Offloading for Large Deep-Learning Model Training based on Compute Express Link
00101	CoAXIAL: A CXL-Centric Memory System for Scalable Servers
00102	Switch-Less Dragonfly on Wafers: A Scalable Interconnection Architecture based on Wafer-Scale Integration
00103	Fast and Efficient Scaling for Microservices with SurgeGuard
00104	Realizing Joint Extreme-Scale Simulations on Multiple Supercomputers-Two Superfacility Case Studies
00105	AutoCheck: Automatically Identifying Variables for Checkpointing by Data Dependency Analysis
00106	Enumeration of Billions of Maximal Bicliques in Bipartite Graphs without Using GPUs
00107	Doubling Graph Traversal Efficiency to 198 TeraTEPS on the Supercomputer Fugaku
00108	Asynchronous Distributed-Memory Parallel Algorithms for Influence Maximization
00109	Network-Offloaded Bandwidth-Optimal Broadcast and Allgather for Distributed AI
00110	hZCCL: Accelerating Collective Communication with Co-Designed Homomorphic Compression
00111	UNR: Unified Notifiable RMA Library for HPC
00112	EXO: Accelerating Storage Paravirtualization with eBPF
00113	CoRD: Combining Raid and Delta for Fast Partial Updates in Erasure-Coded Storage Clusters
00114	MegaMmap: Blurring the Boundary Between Memory and Storage for Data-Intensive Workloads
