10.1145/3712285.3759768 | 905-934 | Characterizing Performance, Power, and Energy of AMD CDNA3 GPU Family
10.1145/3712285.3759868 | 533-555 | XaaS Containers: Performance-Portable Representation With Source and IR Containers
10.1145/3712285.3759869 | 152-166 | Automatic Generation of Mappings for Distributed Fourier Operations
10.1145/3712285.3759870 | 935-948 | Distributed Cross-Channel Hierarchical Aggregation for Foundation Models
10.1145/3712285.3759871 | 762-773 | Augmenting Simulated Noisy Quantum Data Collection by Orders of Magnitude Using Pre-Trajectory Sampling with Batched Execution
10.1145/3712285.3759872 | 2109-2125 | Wasp: Efficient Asynchronous Single-Source Shortest Path on Multicore Systems via Work Stealing
10.1145/3712285.3759873 | 1742-1754 | SIREN: Software Identification and Recognition in HPC Systems
10.1145/3712285.3759874 | 437-457 | Addressing Reproducibility Challenges in HPC with Continuous Integration
10.1145/3712285.3759875 | 397-410 | Insights from Optimizing HPL Performance on Exascale Systems: A Comparative Analysis of Panel Factorization
10.1145/3712285.3759876 | 695-710 | High-Performance Branch-Free Algorithms for Extended-Precision Floating-Point Arithmetic
10.1145/3712285.3759877 | 281-297 | Scaling the memory wall using mixed-precision - HPG-MxP on an exascale machine
10.1145/3712285.3759878 | 1992-2005 | Stability-preserving Lossy Compression for Large-scale Partial Differential Equations
10.1145/3712285.3759879 | 505-518 | Minimizing Power Waste in Heterogenous Computing via Adaptive Uncore Scaling
10.1145/3712285.3759880 | 217-236 | PGT-I: Scaling Spatiotemporal GNNs with Memory-Efficient Distributed Training
10.1145/3712285.3759881 | 1043-1059 | LCI: a Lightweight Communication Interface for Efficient Asynchronous Multithreaded Communication
10.1145/3712285.3759882 | 1845-1858 | DAS-ILU: A Distributed Asynchronous Parallel ILU Factorization Based on Domain Decomposition
10.1145/3712285.3759883 | 1073-1084 | Fine-grained Automated Failure Management for Extreme-Scale GPU Accelerated Systems
10.1145/3712285.3759884 | 1195-1210 | Uno: A One-Stop Solution for Inter- and Intra-Data Center Congestion Control and Reliable Connectivity
10.1145/3712285.3759885 | 1446-1463 | Improving SpGEMM Performance Through Matrix-Reordering and Cluster-wise Computation
10.1145/3712285.3759886 | 1315-1331 | X-MoE: Enabling Scalable Training for Emerging Mixture-of-Experts Architectures on HPC Platforms
10.1145/3712285.3759887 | 1252-1266 | STELLAR: Storage Tuning Engine Leveraging LLM Autonomous Reasoning for High Performance Parallel File Systems
10.1145/3712285.3759888 | 1332-1350 | TT-LoRA MoE: Using Parameter-Efficient Fine-Tuning and Sparse Mixture-Of-Experts
10.1145/3712285.3759890 | 200-216 | Plexus: Taming Billion-edge Graphs with 3D Parallel Full-graph GNN Training
10.1145/3712285.3759891 | 1113-1126 | LowDiff: Efficient Frequent Checkpointing via Low-Cost Differential for High-Performance Distributed Training Systems
10.1145/3712285.3759892 | 2143-2157 | BLAZE: Exploiting Hybrid Parallelism and Size-customized Kernels to Accelerate BLASTP on GPUs
10.1145/3712285.3759893 | 1165-1179 | Exploring and Mitigating Failure Behavior of Large Language Model Training Workloads in HPC Systems
10.1145/3712285.3759894 | 1769-1784 | UltraAttn: Efficiently Parallelizing Attention through Hierarchical Context-Tiling
10.1145/3712285.3759895 | 1572-1589 | KAMI: Communication-Avoiding General Matrix Multiplication within a Single GPU
10.1145/3712285.3759896 | 1284-1298 | gParaKV: A GPGPU-accelerated Key-Value Separation-based KV Store with Optimized Compaction and Garbage Collection
10.1145/3712285.3759897 | 1553-1571 | Bubble: Towards Scalable Evolving Graph Processing via Mini-Batch Sorting
10.1145/3712285.3759898 | 185-199 | Constraint-Driven Auto-Tuning of GEMM-like Operators for MT-3000 Many-core Processor
10.1145/3712285.3759900 | 137-151 | PerfDojo: Automated ML Library Generation for Heterogeneous Architectures
10.1145/3712285.3759902 | 1223-1239 | SDR-RDMA: Software-Defined Reliability Architecture for Planetary Scale RDMA Communication
10.1145/3712285.3759903 | 1951-1965 | Diff-MoE: Efficient Batched MoE Inference with Priority-Driven Differential Expert Caching
10.1145/3712285.3759904 | 1464-1476 | Utilizing Sparsity in the GPU-accelerated Assembly of Schur Complement Matrices in Domain Decomposition Methods
10.1145/3712285.3769434 | 2266-2267 | Reproducibility Report for SC25 Paper Uno: A One-Stop Solution for Inter- and Intra- Data Center Congestion Control and Reliable Connectivity
10.1145/3712285.3769435 | 2268-2268 | Reproducibility Report for SC25 Paper ATLAHS: An Application-centric Network Simulator Toolchain for AI, HPC, and Distributed Storage
10.1145/3712285.3769436 | 2269-2270 | Reproducibility Report for SC25 Paper TensorMD: Accelerating Molecular Dynamics with a High-Performance Machine Learning Interatomic Potential
10.1145/3712285.3769437 | 2271-2271 | Reproducibility Report for SC25 Paper TurboFNO: High-Performance Fourier Neural Operator with Fused FFT-GEMM-iFFT on GPU
10.1145/3712285.3769438 | 2329-2329 | Reproducibility Report for SC25 Paper XaaS Containers: Performance-Portable Representation With Source and IR Containers
10.1145/3712285.3769439 | 2272-2273 | Reproducibility Report for SC25 Paper X-MoE: Enabling Scalable Training for Emerging Mixture-of-Experts Architectures on HPC Platforms
10.1145/3712285.3769440 | 2327-2328 | Reproducibility Report for SC25 Paper Bine Trees: Enhancing Collective Operations by Optimizing Communication Locality
10.1145/3712285.3769441 | 2325-2326 | Reproducibility Report for SC25 Paper DRIM-ANN: An Approximate Nearest Neighbor Search Engine based on Commercial DRAM-PIMs
10.1145/3712285.3769442 | 2323-2324 | Reproducibility Report for SC25 Paper ThirstyFLOPS: Water Footprint Modeling and Analysis Toward Sustainable HPC Systems
10.1145/3712285.3769443 | 2322-2322 | Reproducibility Report for SC25 Paper Addressing Reproducibility Challenges in HPC with Continuous Integration
10.1145/3712285.3769444 | 2274-2274 | Reproducibility Report for SC25 Paper SIGMo: High-Throughput Batched Subgraph Isomorphism on GPUs for Molecular Matching
10.1145/3712285.3769445 | 2321-2321 | Reproducibility Report for SC25 Paper RAPTOR: Practical Numerical Profiling of Scientific Applications
10.1145/3712285.3769446 | 2319-2320 | Reproducibility Report for SC25 Paper RedSan: A Redundant Memory Instruction Sanitizer for GPU Programs
10.1145/3712285.3769447 | 2318-2318 | Reproducibility Report for SC25 Paper FaSTCC: Fast Sparse Tensor Contractions on CPUs
10.1145/3712285.3769448 | 2316-2317 | Reproducibility Report for SC25 Paper Bridging the Gap Between Binary and Source Based Package Management in Spack
10.1145/3712285.3769449 | 2314-2315 | Reproducibility Report for SC25 Paper HP-MDR: High-performance and Portable Data Refactoring and Progressive Retrieval with Advanced GPUs
10.1145/3712285.3769450 | 2311-2313 | Reproducibility Report for SC25 Paper Demystifying the Resilience of Large Language Model Inference: An End-to-End Perspective
10.1145/3712285.3769451 | 2309-2310 | Reproducibility Report for SC25 Paper KAMI: Communication-Avoiding General Matrix Multiplication within a Single GPU
10.1145/3712285.3769452 | 2307-2308 | Reproducibility Report for SC25 Paper Ab-initio Quantum Transport with the GW Approximation, 42,240 Atoms, and Sustained Exascale Performance
10.1145/3712285.3769453 | 2306-2306 | Reproducibility Report for SC25 Paper GPU Lossy Compression for HPC Can Be Versatile and Ultra-Fast
10.1145/3712285.3769454 | 2304-2305 | Reproducibility Report for SC25 Paper High-Performance Branch-Free Algorithms for Extended-Precision Floating-Point Arithmetic
10.1145/3712285.3769455 | 2300-2303 | Reproducibility Report for SC25 Paper Zero-Value Code Specialization via Profile-Guided Control Data Flow Analysis
10.1145/3712285.3769456 | 2297-2297 | Reproducibility Report for SC25 Paper lsCOMP: Efficient Light Source Compression
10.1145/3712285.3769457 | 2298-2299 | Reproducibility Report for SC25 Paper lsCOMP: Efficient Light Source Compression
10.1145/3712285.3769458 | 2295-2296 | Reproducibility Report for SC25 Paper CPU- and GPU-initiated Communication Strategies for Conjugate Gradient Methods on Large GPU Clusters
10.1145/3712285.3769459 | 2294-2294 | Reproducibility Report for SC25 Paper MetoHash: A Memory-Efficient and Traffic-Optimized Hashing Index on Hybrid PMem-DRAM Memories
10.1145/3712285.3769460 | 2275-2276 | Reproducibility Report for SC25 Paper MLP-Offload: Multi-Level, Multi-Path Offloading for LLM Pre-training to Break the GPU Memory Wall
10.1145/3712285.3769461 | 2277-2277 | Reproducibility Report for SC25 Paper STZ: A High Quality and High Speed Streaming Lossy Compression Framework for Scientific Data
10.1145/3712285.3769462 | 2278-2279 | Reproducibility Report for SC25 Paper Story of Two GPUs: Characterizing the Resilience of Hopper H100 and Ampere A100 GPUs
10.1145/3712285.3769463 | 2280-2281 | Reproducibility Report for SC25 Paper Optimizing Quantum Circuit Mapping to Reduce Inter-Module Communications in Distributed Architectures
10.1145/3712285.3769464 | 2282-2282 | Reproducibility Report for SC25 Paper MXBLAS: Accelerating 8-bit Deep Learning with a Unified Micro-Scaled GEMM Library
10.1145/3712285.3769465 | 2283-2284 | Reproducibility Report for SC25 Paper C.A.T.S.: Memory and Control Flow Tracing for Whole-Program Performance Analysis
10.1145/3712285.3769466 | 2285-2285 | Reproducibility Report for SC25 Paper Numerical Performance of the Implicitly Restarted Arnoldi Method in OFP8, Bfloat16, Posit, and Takum Arithmetics
10.1145/3712285.3769467 | 2286-2286 | Reproducibility Report for SC25 Paper Moment: Co-optimizing Physical Communication Topology and Data Placement for Multi-GPU Out-of-core GNN Training
10.1145/3712285.3769468 | 2287-2289 | Reproducibility Report for SC25 Paper Sparsified Preconditioned Conjugate Gradient Solver on GPUs
10.1145/3712285.3769469 | 2290-2291 | Reproducibility Report for SC25 Paper MANS: Efficient and Portable ANS Encoding for Multi-Byte Integer Data on CPUs and GPUs
10.1145/3712285.3769470 | 2292-2293 | Reproducibility Report for SC25 Paper Caracal: A GPU-Resident Sparse LU Solver with Lightweight Fine-Grained Scheduling
10.1145/3712285.3771783 | 14-24 | Simulating many-engine spacecraft: Exceeding 1 quadrillion degrees of freedom via information geometric regularization
10.1145/3712285.3771784 | 1-13 | Ab-initio Quantum Transport with the GW Approximation, 42,240 Atoms, and Sustained Exascale Performance
10.1145/3712285.3771785 | 36-47 | Multiscale Light-Matter Dynamics in Quantum Materials: From Electrons to Topological Superlattices
10.1145/3712285.3771786 | 25-35 | Cosmological Hydrodynamics at Exascale: A Trillion-Particle Leap in Capability
10.1145/3712285.3771787 | 60-71 | Real-Time Bayesian Inference at Extreme Scale: A Digital Twin for Tsunami Early Warning Applied to the Cascadia Subduction Zone
10.1145/3712285.3771788 | 111-124 | Kilometer-Scale AI-Powered and Performance-Portable Earth System Model (AP3ESM) to Achieve Year-Scale Simulation Speed on Heterogeneous Supercomputers
10.1145/3712285.3771789 | 125-136 | Computing the Full Earth System at 1km Resolution
10.1145/3712285.3771790 | 99-110 | Destination Earth: The Climate Change Adaptation Digital Twin
10.1145/3712285.3771989 | 86-98 | ORBIT-2: Scaling Exascale Vision Foundation Models for Weather and Climate Downscaling
10.1145/3712285.3772093 | 48-59 | Advancing Quantum Many-Body GW Calculations on Exascale Supercomputing Platforms
10.1145/3712285.3772094 | 72-85 | AERIS: Argonne Earth Systems Model for Reliable and Skillful Predictions
